,Organization Name,NY Reg #,EIN,Registrant Type,City,State
0,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
1,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
2,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
3,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
4,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
5,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
6,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
7,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
8,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
9,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
10,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
11,"100 BLACK MEN OF LONG ISLAND DEVELOPMENT GROUP, INC.",20-08-47,113617702,NFP,HEMPSTEAD,NY
12,100 BLACKS WHO CARE INC,06-42-84,311628801,NFP,BROOKLYN,NY
13,100 BLACK WOMEN OF LONG ISLAND FOUNDATION INC,05-79-45,113101805,NFP,GARDEN CITY,NY
14,"100Cameras, Inc.",43-16-19,264692506,NFP,NEW YORK,NY
15,100 CLUB OF BUFFALO INC,03-01-89,160957291,NFP,BUFFALO,NY
16,"100 E. 182ND Street Housing Development Fund Company, Inc.",43-46-29,133881096,NFP,BRONX,NY
17,100 GROTON PARKWAY INC,15-51-96,222661001,NFP,ROCHESTER,NY
18,"100 Lives Foundation, Inc.",45-60-79,364808338,NFP,WASHINGTON,DC
19,"100 Mile Man Foundation, Inc.",20-23-17,200565515,NFP,NEW YORK,NY
20,100 WHO CARE INC,06-65-86,134068307,NFP,LONG ISLAND CITY,NY
21,"100 Women in Finance Association, Inc.",20-90-57,571174550,NFP,NEW YORK,NY
22,1026 Foundation Corporation (The),46-42-92,823378707,NFP,SPRINGFIELD GARDENS,NY
23,1035 BROADWAY HOUSING DEVELOPMENT FUND COMPANY INC,05-75-26,133870736,NFP,MT. KISCO,NY
24,"103rd Precinct Community Council, Inc.",41-40-17,205484666,NFP,JAMAICA,NY
25,"105TH FLOOR HEROES FUND, INC.",21-26-78,20560593,NFP,COLD SPRING HARBOR,NY
26,1068 Franklin Avenue Housing Development Fund Corporation,45-51-94,208317595,NFP,BRONX,NY
27,"106 RQW FRG PO, Inc.",45-62-68,811070262,NFP,WESTHAMPTON,NY
28,106TH STREET OLDTIMERS INC,06-27-32,133990469,NFP,BRONX,NY
29,1070 Anderson Housing Development Fund Corporation,41-80-86,611559082,NFP,NEW YORK,NY
30,107-109 AVENUE D HOUSING DEVELOPMENT FUND CORPORATION,04-74-17,133581305,NFP,NEW YORK,NY
31,1078-82 BEDFORD AVE HOUSING DEVELOPMENT FUND CORP,05-95-96,113344802,NFP,BROOKLYN,NY
32,107 Linden Street Housing Development Fund Corporation,41-51-73,113580996,NFP,QUEENS VILLAGE,NY
33,10 Freedom Place Housing Development Fund Corporation,46-36-74,475005707,NFP,NEW YORK,NY
34,"10 in 10 Project, Inc.",40-12-38,205326666,NFP,FT. MONTGOMERY,NY
35,10 ORCHARD STREET HOUSING DEVELOPMENT FUND CO INC,05-37-28,132683270,NFP,ELMSFORD,NY
36,"10 Thousand Windows, Inc.",46-50-29,272505761,NFP,KNOXVILLE,TN
37,110 Madison Housing Development Fund Corporation,43-58-15,454897009,NFP,NEW YORK,NY
38,"110 Precinct Community Council, Inc.",41-37-18,432025653,NFP,ELMHURST,NY
39,"1 SG Michael S. Curry Memorial Foundation, Inc.",41-44-93,261211059,NFP,NEW YORK,NY
40,Academy of General Dentistry Foundation,43-07-85,237310583,NFP,CHICAGO,IL
41,"American Agora Foundation, Inc.",40-62-78,204000236,NFP,NEW YORK,NY
42,AMERICAN CLASSICAL ORCHESTRA INC,15-89-17,61072470,NFP,NEW YORK,NY
43,"AOPA Foundation, Inc.",40-51-26,208817225,NFP,FREDERICK,MD
44,ARNOLD GOLD FOUNDATION,21-38-43,223052098,NFP,ENGLEWOOD CLIFFS,NJ
45,BLESSING WAY FOUNDATION,20-76-19,43138834,NFP,NEW YORK,NY
46,BOYS & GIRLS CLUB OF THE NORTHTOWNS FOUNDATION INC,01-23-16,160844107,NFP,BUFFALO,NY
47,BRAND FOUNDATION OF NEW YORK INC,00-12-93,136159106,NFP,NEW YORK,NY
48,BROOKLYN CHIEFS INC.,21-07-22,861057788,NFP,BROOKLYN,NY
49,BROOKLYN GYNECOLOGICAL SOCIETY INC,05-02-76,11202369,NFP,BROOKLYN,NY
50,Charleens Stroke Care Fund,44-46-89,383802497,NFP,LACKAWANNA,NY
51,"Crenulated Company, Ltd.",04-38-38,141719016,NFP,NEW YORK,NY
52,"DAHNTAY JONES FOUNDATION, INC.",21-36-31,203554521,NFP,FLORENCE,NJ
53,DE CHARITABLE FOUNDATION,40-26-45,208094990,NFP,BROOKLYN,NY
54,EFREIN FOUNDATION INC,01-24-27,116017909,NFP,FAIRFAX,VA
55,Elija School,40-33-27,205296438,NFP,LEVITTOWN,NY
56,EVERGREEN FOUNDATION,05-43-23,161472048,NFP,BUFFALO,NY
57,"Family and Life Center of Mt. Ararat, Inc.",43-12-15,582441703,NFP,BROOKLYN,NY
58,Family Annex,06-10-35,133083081,NFP,NEW YORK,NY
59,"Fesabeelillah Services of NYC, Inc.",43-20-89,453736091,NFP,BROOKLYN,NY
60,"For The Win, Inc.",45-46-69,473875560,NFP,GREENVILLE,SC
61,Freedom Fund,44-63-63,300805758,NFP,NEW YORK,NY
62,GERRY HOMES,21-21-45,160755780,NFP,GERRY,NY
63,"Gideon and Claudia Oberweger Family Foundation, Inc.",40-39-03,205916926,NFP,NEW YORK,NY
64,"GLEN CONSERVANCY, LTD",21-21-60,710883483,NFP,FULTONVILLE,NY
65,Heritage Foundation,40-38-82,208465001,NFP,BROOKLYN,NY
66,"HETL Association, Inc.",43-82-58,453307445,NFP,KEW GARDENS,NY
67,High Atlas Foundation,40-50-84,850478294,NFP,NEW YORK,NY
68,"HOMEVILLE MUSEUM, INC.",40-25-93,204130195,NFP,HOMER,NY
69,I Am A Leader Foundation,44-55-63,454625508,NFP,PROVO,UT
70,"I Love Math, Inc.",41-29-81,262609655,NFP,BRONX,NY
71,"INTERNATIONAL ORGANIZATION FOR ADOLESCENTS, INC.",20-98-81,134093883,NFP,CHICAGO,IL
72,ISAIAH J. JONES MEMORIAL FOUNDATION,20-36-56,760736140,NFP,BRONX,NY
73,"Jean Bertrand Foundation For The Disadvantaged, Inc.",42-80-65,800735536,NFP,BROOKLYN,NY
74,JOSEPH LANDAU FREE AID FUND INC,03-55-60,112708982,NFP,WOODMERE,NY
75,KEKST FAMILY FOUNDATION,03-98-66,133382250,NFP,NEW YORK,NY
76,KEUKA HOUSING COUNCIL INC,02-32-90,161092291,NFP,PENN YAN,NY
77,Koinonia Ventures Inc,46-53-18,821443905,NFP,WOODBURY,NY
78,"LUPUS FOUNDATION OF GENESEE VALLEY NY, INC.",03-68-42,222612041,NFP,PENFIELD,NY
79,"Markowitz Family Foundation, Inc.",40-37-51,205613149,NFP,BROOKLYN,NY
80,Matan Baseser Foundation,40-37-98,205125738,NFP,BROOKLYN,NY
81,"MONROE FOUNDATION, INC.",20-85-77,223236708,NFP,BRONX,NY
82,Nazee & Joseph Moinian Foundation,44-61-47,471035983,NFP,NEW YORK,NY
83,"Odyssey Sport Soccer Club, Inc.",41-30-39,300474221,NFP,SHERRILL,NY
84,PITTSBURGH FOUNDATION,21-31-05,250965466,NFP,PITTSBURGH,PA
85,"POETIC Foundation, Inc.",43-15-65,800688254,NFP,STATEN ISLAND,NY
86,Riley Family Foundation (20-5973514),43-23-88,205973514,NFP,NORTHPORT,NY
87,"Sacred Music Chorale of Richmond Hill, Inc.",21-27-88,113457320,NFP,RICHMOND HILL,NY
88,S G of Rockland County Inc.,45-47-77,472138530,NFP,SPRING VALLEY,NY
89,"Singer, Theodore CRUT u/a dtd. July 16, 1998",47-70-09,116502880,CRT,NO DATA AVAILABLE,
90,STONE TRUST CORPORATION,40-25-60,60552923,NFP,STAMFORD,CT
91,"Thanc Foundation, Inc.",20-66-71,800062118,NFP,NEW YORK,NY
92,THE FRED STEIN FAMILY FOUNDATION,04-01-59,133389107,NFP,HAVERFORD,PA
93,The Humanitarian Resource Foundation International Inc. D/B/A Thrfi,43-53-81,460533581,NFP,GLEN COVE,NY
94,The New School of Syracuse,42-67-44,160986798,NFP,DEWITT,NY
95,University of Virginia Health Foundtion,40-44-88,412097394,NFP,CHARLOTTESVILLE,VA
96,Violin Player,41-40-19,270773158,NFP,EAST AMHERST,NY
97,"William A. Epps Community Center, Inc.",40-91-11,861074714,NFP,STATEN ISLAND,NY
98,"WORLD SOCIETY OF CZESTOCHOWA JEWS AND THEIR DESCENDENTS, INC.",40-46-49,205101779,NFP,NEW YORK,NY
99,"Yum-O Organization, Inc.",40-50-07,208107545,NFP,NEW YORK,NY
